,comments
261,Она прекрасна... Хорошее качество.
262,Норм книга
263,"Упаковка немного была порвана, на качество книги не повлияло. Страницы все целые, печать хорошая. Единственный дефект - это непроклей форзаца. Менять не буду, сам доклею, там не критично"
264,"Слабая упаковка, пищевая пленка…"
265,"Брал в подарок, книга целая, всё хорошо!"
266,Книга очень крутая по содержанию и качеству
267,"Книга отличная! 
Дочь в восторге!"
268,Книга очень высокого качества. Хороший перевод
269,"Цена книги значительно была меньше, чем в ""Читай городе"",на что и "" купилась"". Но к упаковке товара претензии. Пришла в пакете, возможно от этого повреждения. Хотя 1й изъян видела и у других покупателей.. Думала "" минует"" меня)))) К господину Толкину претензий нет)) Книга супер!"
270,👍👍👍👍👍👍👍
271,"Книга приехала в тонкой рваной плёнке, поэтому бортики книги помялись. Удивлена тем, что книга не приехала вся порванная. Пожалуйста в следующей раз заворачиваете в пупырчатую плёнку, а сверхя обычной, так книга приедет в хорошем состоянии"
272,"Книга пришла в отличном состоянии, никаких повреждений и брака. 
Очень понравился шрифт и оформление. 
Цена доступная для такого количества, потому что вся серия здесь. 
Если думаете брать - берите."
273,"Доставили все в хорошем виде,сыну понравилось"
274,Книга пришла целая и БОЛЬШАЯ
275,Такая книга и правда -лучший подарок! Рекомендую!
276,"книга просто шикарнейшай, много картин, шрифт стилизованный, буквы достаточно крупные, читаемые."
277,"Хотя упакована была в плёнку, но пришла целая, без повреждений."
278,"По содержанию книги претензий нет, отличная эпопея! Но по состоянию, недочёт. Можно смириться с погнутым помятым корешком, книга громоздкая тяжёлая. Но такой брак... Вроде и не критично, чтобы отказ делать, но настроение испортил."
279,"Книга хороша, только что лежа не почитать)"
280,Замечательная книга
281,"Книга понравилась, но пришлось отказаться, так как подарили уже такую же"
282,"Обалденная книга, каждый лист в своём дизайне, красиво оформлено, даже рисунки есть в черно-белом, шрифт удобный. Нигде не помята"
283,"Хорошая книга ,без повреждений"
284,Книга пришла во время. В отличном состоянии. Осталось насладиться чтением. А попозже Ведьмака закажу
285,Дети на седьмом небе от счастья:)
286,"Доставка довольно быстрая, были маленькие повреждения, а так книга в целостности, доволен"
287,Большая и красивая
288,Брала на подарок. Книга пришла целая. Но упаковка оставляет желать лучшего 🫣
289,Книга отличная
290,"Продавец, скажите,вам жалко упаковки? Почему в таком виде приходят книги? Дочка поехала забирать, дефект увидела только дома. Сама не стала бы забирать. Жалко товар. Не советую продавца за халатность к работе."
291,Страницы очень тонкие. Упаковка была надорвана. Красивые иллюстрации.
292,"Все отлично, быстрая доставка, книга в хорошем состоянии"
293,"Брала на подарок, книга пришла в пленке, причем пленка целая, а корешок надорван. Вопросы к продавцу"
294,Все как описано. Заказом доволен. Рекомендую.
295,Повреждения. Отврат упаковка
296,Покупала на подарок крестнику. Он очень доволен
297,Разорван корешок.
298,"Книга красивая. Пришла целая, без повреждений. Упакована в обычную пленку. По содержанию сказать не могу, еще не читали."
299,"Упакована не очень, но пришла целая не повреждена. Спасибо большое!!!"
300,Супер книга
301,Хороша книга
302,Пришла в хорошем качестве
303,Книга пришла целая
304,"Супер! Брала в подарок.Книга большая,запечатана хорошо."
